card_code,card_name,card_color,card_rarity,card_type,card_level,digimon_form,digimon_type,play_cost,dp,digimon_attribute,card_effect,security_effect,inherited_effect,digivolve_cost1,digivolve_lvl1,digivolve_color1,digivolve_cost2,digivolve_lvl2,digivolve_color2,reprints_and_alts_amount,alt_digivolution_req,restriction_japan,restriction_west,set_name_japan,set_name_west,set_restrictionJP_date,restriction_date_west,set_west_date,set_jp_date,west_meta_decks1,west_meta_decks2,west_meta_decks3,west_meta_decks4,west_meta_decks5,west_meta_decks6,west_meta_decks7,west_meta_decks8,jp_meta_decks1,jp_meta_decks2,jp_meta_decks3,jp_meta_decks4,jp_meta_decks5,jp_meta_decks6,jp_meta_decks7,jp_meta_decks8,jp_meta_decks9,jp_meta_decks10
ST1-01,Koromon,Red,Uncommon,Digi-Egg,2,In-Training,Lesser,,,,,,"[Your Turn] While this Digimon has 4 or more digivolution cards, it gets +1000 DP.",,,,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,7,3,36,7,0,0,4,4,46,10,51,44,2,0,0,5,4,0
ST1-02,Piyomon,Red,Common,Digimon,3,Rookie,Bird,2,3000,Vaccine,,,,0          ,2,Red,,,,4,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,21,6,16,14,0,0,0,0,155,39,18,37,0,7,0,0,1,0
ST1-03,Agumon,Red,Uncommon,Digimon,3,Rookie,Reptile,3,2000,Vaccine,,,[Your Turn] This Digimon gets +1000 DP.,0          ,2,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,32,24,51,53,17,0,13,0,201,61,125,105,26,0,6,13,17,3
ST1-04,Dracomon,Red,Common,Digimon,3,Rookie,Dragon,3,4000,Data,,,,0          ,2,Red,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST1-05,Birdramon,Red,Common,Digimon,4,Champion,Giant Bird,4,5000,Vaccine,,,,2          ,3,Red,,,,1,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST1-06,Coredramon,Red,Common,Digimon,4,Champion,Dragon,5,6000,Virus,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead).[When Attacking] Lose 2 memory.",,,2          ,3,Red,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,32,18,8,2,5,0,0,0,186,53,19,7,2,3,0,0,0,0
ST1-07,Greymon,Red,Uncommon,Digimon,4,Champion,Dinosaur,5,4000,Vaccine,,,<Security Attack +1> (This Digimon checks 1 additional security card).,2          ,3,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,28,7,49,64,30,44,10,0,144,24,110,147,28,60,28,79,114,22
ST1-08,Garudamon,Red,Uncommon,Digimon,5,Ultimate,Birdkin,6,7000,Vaccine,[When Digivolving] 1 of your Digimon gets +3000 DP for the turn.,,,3          ,4,Red,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST1-09,Metal Greymon,Red,Rare,Digimon,5,Ultimate,Cyborg,7,7000,Vaccine,,,"[Your Turn] When this Digimon is blocked, gain 3 memory.",3          ,4,Red,,,,3,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,0,4,10,4,0,0,0,0,3,2,24,0,0,8,0,0,0,0
ST1-10,Hououmon,Red,Rare,Digimon,6,Mega,Holy Beast,10,12000,Vaccine,,,,2          ,5,Red,,,,2,,Unrestricted,Unrestricted,ST1,ST1,,,2020-11-27,2020-04-24,41,2,0,0,0,0,0,0,171,24,13,6,0,0,0,0,0,0
